symbol,name,theme,benchmark,invest_type,management,list_date,delist_date,list_status,m_fee,c_fee,scale_yi,scale_reliable,n_qualify_years,first_qualify_year,last_qualify_year,peak_year,peak_avg_daily_yi,latest_year,latest_avg_daily_yi,theme_representative,theme_norm,sector
159687.SZ,南方基金南方东英富时亚太精选ETF(QDII),经估值汇率调整的富时亚太精选,经估值汇率调整的富时亚太精选指数(FTSEAsiaPacificSelectIndex)收益率×100%,被动指数型,南方基金管理股份有限公司,20221230,nan,L,0.2,0.05,30.12,Y,3,2024,2026,2026,3.3516,2026,3.3516,Y,富时亚太精选,富时亚太精选
159901.SZ,易方达深证100ETF,深证100,深证100指数(价格)×100%,被动指数型,易方达基金管理有限公司,20060424,nan,L,0.15,0.05,35.05,Y,12,2013,2026,2015,9.2073,2026,3.3194,Y,深证100,深证100
561360.SH,国泰中证油气产业ETF,中证油气产业,中证油气产业指数收益率×100%,被动指数型,国泰基金管理有限公司,20231031,nan,L,0.5,0.1,20.39,Y,1,2026,2026,2026,3.1452,2026,3.1452,Y,中证油气产业,石油天然气
159387.SZ,国泰创业板新能源ETF,创业板新能源,创业板新能源指数收益率×100%,被动指数型,国泰基金管理有限公司,20250610,nan,L,0.5,0.1,10.55,Y,1,2026,2026,2026,2.785,2026,2.785,Y,创业板新能源,创业板新能源
515230.SH,国泰中证全指软件ETF,中证全指软件,中证全指软件指数收益率×100%,被动指数型,国泰基金管理有限公司,20210302,nan,L,0.5,0.1,56.59,Y,4,2023,2026,2026,2.7076,2026,2.7076,Y,中证全指软件,中证全指软件
159766.SZ,富国中证旅游主题ETF,中证旅游主题,中证旅游主题指数收益率×100%,被动指数型,富国基金管理有限公司,20210723,nan,L,0.5,0.1,31.35,Y,5,2022,2026,2026,2.5527,2026,2.5527,Y,中证旅游主题,旅游
159650.SZ,博时中债0-3年国开行债券ETF,中债-0-3年国开行债券,中债-0-3年国开行债券指数收益率×100%,被动指数型,博时基金管理有限公司,20221028,nan,L,0.15,0.05,52.93,Y,4,2023,2026,2023,16.4239,2026,2.5369,Y,中债-0-3年国开行债券,中债-0-3年国开行债券
516160.SH,南方中证新能源ETF,中证新能源,中证新能源指数收益率×100%,被动指数型,南方基金管理股份有限公司,20210204,nan,L,0.15,0.05,37.14,Y,6,2021,2026,2026,2.5185,2026,2.5185,Y,中证新能源,新能源
159100.SZ,华夏布拉德斯科巴西伊博维斯帕ETF(QDII),经估值汇率调整后的巴西伊博维斯帕,经估值汇率调整后的巴西伊博维斯帕指数收益率×100%,被动指数型,华夏基金管理有限公司,20251113,nan,L,0.5,0.1,5.15,Y,1,2026,2026,2026,2.458,2026,2.458,Y,巴西IBOVESPA,巴西IBOVESPA
513400.SH,鹏华道琼斯工业平均ETF(QDII),道琼斯工业平均,道琼斯工业平均指数收益率(经汇率调整后)×100%,被动指数型,鹏华基金管理有限公司,20240202,nan,L,0.5,0.15,36.88,Y,3,2024,2026,2026,2.2259,2026,2.2259,Y,道琼斯工业平均,道琼斯工业平均
515030.SH,华夏中证新能源汽车ETF,中证新能源汽车,中证新能源汽车指数收益率×100%,被动指数型,华夏基金管理有限公司,20200304,nan,L,0.5,0.1,24.07,Y,7,2020,2026,2021,4.9553,2026,2.2122,Y,中证新能源汽车,汽车
159263.SZ,易方达国证价值100ETF,国证价值100,国证价值100指数收益率×100%,被动指数型,易方达基金管理有限公司,20250708,nan,L,0.15,0.05,71.0,Y,1,2026,2026,2026,2.1612,2026,2.1612,Y,国证价值100,国证价值100
511160.SH,东财中证1-3年国债ETF,中证1-3年国债,中证1-3年国债指数收益率×100%,被动指数型,东财基金管理有限公司,20250106,nan,L,0.15,0.05,22.39,Y,2,2025,2026,2025,4.34,2026,2.1044,Y,中证1-3年国债,中证1-3年国债
159865.SZ,国泰中证畜牧养殖ETF,中证畜牧养殖,中证畜牧养殖指数收益率×100%,被动指数型,国泰基金管理有限公司,20210308,nan,L,0.5,0.1,67.47,Y,6,2021,2026,2026,2.1041,2026,2.1041,Y,中证畜牧养殖,农业养殖
