sw_l1,sw_l2,sw_l3,组内排名,symbol,name,mktcap_yi,avg_amount_20d_yi,price,listing_date,is_st,已纳入
公用事业,电力,水力发电,60,000993.SZ,闽东电力,84.63,3.9474,18.48,2000-07-31,0,False
公用事业,电力,水力发电,61,002039.SZ,黔源电力,82.99,1.0072,19.41,2005-03-03,0,False
公用事业,电力,热力服务,62,605011.SS,杭州热电,73.34,1.535,18.33,2021-06-30,0,False
公用事业,电力,电能综合服务,63,600310.SS,广西能源,70.21,2.6582,4.79,2001-02-28,0,False
公用事业,电力,水力发电,64,000601.SZ,韶能股份,67.04,2.2035,6.3,1996-08-30,0,False
公用事业,电力,光伏发电,65,002256.SZ,兆新股份,66.32,1.2799,3.25,2008-06-25,0,False
公用事业,电力,热力服务,66,605580.SS,恒盛能源,64.74,2.9343,23.12,2021-08-19,0,False
公用事业,电力,光伏发电,67,002218.SZ,拓日新能,62.25,2.1147,4.42,2008-02-28,0,False
公用事业,电力,热力服务,68,001210.SZ,金房能源,61.87,2.55,28.18,2021-07-29,0,False
公用事业,电力,电能综合服务,69,600644.SS,乐山电力,60.03,2.6664,10.38,1993-04-26,0,False
公用事业,电力,火力发电,70,000037.SZ,深南电A,58.53,1.6622,9.71,1994-07-01,0,False
公用事业,电力,热力服务,71,600982.SS,宁波能源,57.78,1.2282,5.17,2004-07-06,0,False
公用事业,电力,热力服务,72,001376.SZ,百通能源,56.92,1.504,11.65,2023-11-03,0,False
公用事业,电力,水力发电,73,600868.SS,梅雁吉祥,55.24,1.3098,2.91,1994-09-12,0,False
公用事业,电力,电能综合服务,74,600979.SS,广安爱众,51.56,1.1077,4.12,2004-09-06,0,False
公用事业,电力,热力服务,75,002479.SZ,富春环保,50.43,1.2417,5.83,2010-09-21,0,False
公用事业,电力,热力服务,76,605162.SS,新中港,49.07,4.2936,11.08,2021-07-07,0,False
公用事业,电力,电能综合服务,77,600101.SS,明星电力,44.6,1.0462,8.14,1997-06-27,0,False
公用事业,电力,光伏发电,78,603105.SS,芯能科技,40.55,2.1966,8.11,2018-07-09,0,False
公用事业,电力,电能综合服务,79,300040.SZ,九洲集团,37.96,1.8507,5.9,2010-01-08,0,False
公用事业,电力,电能综合服务,80,600969.SS,郴电国际,36.38,2.3589,9.83,2004-04-08,0,False
公用事业,电力,光伏发电,81,300317.SZ,珈伟新能,34.45,2.2046,4.15,2012-05-11,0,False
